method,B,D1,D2,M,S,p1,p2,p3,p4,p5,p6,p7
Betweenness Centrality,1,0,0,0.2638888888888889,0,0.034722222222222224,0.0625,0.027777777777777776,0.023148148148148147,0.023148148148148147,0.023148148148148147,0.013888888888888888
Closeness Centrality,1,0.6930898093875693,0.8640987143808239,0.5793484138503776,0.3936270767270711,0.6261777327904223,0.6261777327904223,0.6261777327904223,0.42451613032475555,0.42451613032475555,0.42451613032475555,0.42451613032475555
Communication Path Centrality,0.11619536314625672,0.21177372337661682,0.3137721391002074,1,0.1557973326531284,0.41727166728778214,0.48941665504251647,0.40125075471490657,0.4458249010391058,0.4458249010391058,0.4458249010391058,0.332923939459694
Harmonic Communication Centrality,0.16295799470813527,0.36852426709411723,0.5460198071448982,1,0.2711153060717827,0.5734526807216386,0.6067970585332385,0.5734283556708779,0.5605266949751428,0.5605266949751428,0.5605266949751428,0.4206100156242156
Degree Centrality,1,0.5833333333333334,0.6041666666666666,0.6666666666666667,0.6250000000000001,0.5833333333333334,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
Harmonic Centrality,0.2306098773616175,0.13225058004640367,0.13225058004640367,1,0.5323085846867749,0.24709976798143843,0.36194895591647325,0.24709976798143846,0.8213457076566124,0.8213457076566124,0.8213457076566125,0.372886973815048
Katz Centrality,1,0.5991905930623735,0.5991905930623735,0.9533237757755915,0.9007934770114027,0.665808792020759,0.7324269909791443,0.665808792020759,0.7627546798445549,0.7627546798445549,0.7627546798445549,0.7019951926208619
Laplacian Centrality,1,0.7013418770889683,0.7181072231886666,0.9948975209236421,0.9269670118737903,0.7310243679607624,0.7710531477300859,0.7175798590711543,0.7533985082806612,0.7533985082806612,0.7533985082806612,0.7345871816269113
Pagerank,1,0.4250515986858287,0.4250515986858287,0.8728098590414708,0.8731711929290797,0.4980917222287623,0.5537634978898157,0.4807233743468822,0.5761699904453943,0.5761699904453943,0.5761699904453943,0.5109637772351137
Percolation Centrality,1,0,0,0.26388888888888884,0,0.034722222222222224,0.0625,0.027777777777777776,0.023148148148148143,0.023148148148148143,0.023148148148148143,0.013888888888888888

